feature,missing_rate,unique_count,std,corr_target_pearson,corr_target_spearman,corr_within_group,corr_between_group,within_variance_ratio,abs_corr_within_group
ts_v3_cv,0.0,159,0.044603366893184226,0.09696192811065374,0.08421602579412467,-0.049346829756726135,0.2743585718802681,0.19618270863762152,0.049346829756726135
ts_diff_edge_inner_tv_step,0.0,159,0.015820510305057097,-0.07268587835036881,-0.08346668258896586,-0.04749580309733164,-0.06970265065013391,0.7148257735017993,0.04749580309733164
ts_diff_alternating_tv_step,0.0,159,0.035206181941815184,-0.03989610326314987,-0.10574695486028185,0.04719775717868694,-0.0360808180318345,0.7272314088566636,0.04719775717868694
ts_v1_lag1,0.0,159,0.019709512117253365,0.03193529690748756,-0.07440291378074995,0.04386305064011884,0.17982694284265482,0.17486344751235144,0.04386305064011884
ts_v3_tv_step_rel,0.0,159,0.0031841280644478074,-0.06058478200924637,-0.06956352997372821,0.0415889505852838,-0.10600067415399196,0.3614713533766191,0.0415889505852838
ts_diff_top_bottom_p90span,0.0,159,0.04903232439153978,-0.2558990448635749,-0.2975220921901123,-0.04153149724806841,-0.4573081402572376,0.5517570617628114,0.04153149724806841
ts_diff_edge_inner_p90span,0.0,159,0.045082399172695395,-0.19677340942425217,-0.39549796990685454,-0.04129091623551242,-0.4543596606798006,0.8022344771141291,0.04129091623551242
ts_diff_top_bottom_lag1,0.0,159,0.4339289600206302,-0.10360490575963878,-0.07582994984475759,0.04023229260667772,-0.3144078196831063,0.546621219806978,0.04023229260667772
ts_diff_alternating_drift,0.0,159,0.11575858076403633,0.03601708294451923,0.10624850728445188,0.039458113533814516,0.14302258555931696,0.6824710432496897,0.039458113533814516
ts_q_mad_rel,0.0,159,0.003272603863504394,0.12603390666681877,0.14359027943635064,-0.03784798320892309,0.27558002392698266,0.44688556194464796,0.03784798320892309
ts_diff_inner_skew_tv_step,0.0,159,0.023037744087263116,-0.07350441846772815,-0.15038512061141632,0.036900161437144606,-0.09893448193299695,0.6345830143946153,0.036900161437144606
ts_v0_end_cv,0.0,159,0.09649286232424872,0.017314758695177814,0.03526689754000478,-0.0332082204036648,0.17255407318999635,0.44145354644843315,0.0332082204036648
ts_channel_tv_mean,0.0,159,0.003160917598439183,-0.10411132091952484,-0.1202143539527108,0.03148228505996643,-0.2752822647042741,0.2882674238851851,0.03148228505996643
ts_v0_plateau_cv,0.0,159,0.009198049004232788,-0.32456453958572423,-0.3717578218294722,-0.03048986813029099,-0.5721045950958703,0.4938270590873277,0.03048986813029099
ts_diff_center_edge_std,0.0,159,0.08389547540766558,0.14795822665798272,0.13961965607833773,0.03024403488359236,0.4133268767496004,0.5939789167274253,0.03024403488359236
