window_id,base_volume_m3,model_volume_m3,zero_bias_volume_m3,base_error_pct,model_error_pct,zero_bias_error_pct,online_class,flow_point
updated_20260615_home__20260615_093814,81.59687820566444,81.43925271073992,81.26137450448549,0.5431239372819093,0.34889886372056667,0.12971853561900218,A,50
updated_20260615_home__20260615_100425,81.3132915927961,81.0518351685342,80.92239565068991,0.5655629672456102,0.2422023950408162,0.08211592298643589,A,40
updated_20260615_home__20260615_102727,81.10668907437436,80.74721047466723,80.61825744147087,0.6337655815920639,0.18773966748584844,0.027740172230688653,A,30
updated_20260615_home__20260615_110318,84.73917440917403,84.54483309444848,84.320297958135,0.5475640758753865,0.3169677084786156,0.050544756364975414,A,70
updated_20260615_home__20260615_112244,84.31489816417587,84.12152988705465,83.89811896424891,0.5933099542051712,0.36260867294536026,0.09606450703540748,A,70
updated_20260615_home__20260615_112934,42.56623332016884,42.29913957824719,42.23158798955272,0.9372159070660925,0.3038571014374647,0.14367216701696042,A,20
updated_20260615_home__20260615_124408,82.00190682307019,81.84103743626927,81.68504587356047,0.5952238290683823,0.39787851602098073,0.20651703707396007,A,60
updated_20260615_home__20260615_130315,81.2898585171825,81.13038600978084,80.97574897079305,0.4611637859459035,0.2640814686966096,0.07297501108305585,A,60
updated_20260615_home__20260615_132331,81.96294140512266,81.80460876435805,81.62593255373473,0.5466832256743751,0.35245127642604057,0.13326318920612204,A,50
updated_20260615_home__20260615_134958,81.62154901667738,81.35910141517715,81.22917119413368,0.5969506178144802,0.27348912111478235,0.11335268426033576,A,40
updated_20260615_home__20260615_141432,81.43950334445208,81.07854965546272,80.94906747466946,0.7453311533729288,0.2988107617337601,0.1386338863013954,A,30
updated_20260615_home__20260615_143858,84.54542067771753,84.32450740896702,84.08877829948769,0.5436198350038308,0.28090401276636434,0.0005688062283123403,A,80
updated_20260615_home__20260615_150101,83.92075608311386,83.72829173373039,83.50592517731734,0.6026949616555798,0.37197215676518347,0.10540312320761808,A,70
updated_20260615_home__20260615_152340,82.96386592637717,82.8011093911297,82.64328790141552,0.5650653610672449,0.36777921218373955,0.17647510344594378,A,60
updated_20260615_home__20260615_154558,82.30545217646578,82.14645788747347,81.96703501591202,0.5467428024244172,0.3525107380881666,0.13332252099310732,A,50
updated_20260615_home__20260615_155125,42.59569370320094,42.328415103862305,42.260816762248396,0.9816927361715544,0.3480548482331206,0.18779933015436356,A,20
updated_20260615_home__20260615_161951,82.51216311020661,82.35276950553025,82.1728960117034,0.6022603644149976,0.4079210535347694,0.188611810187748,A,50
updated_20260615_home__20260615_164538,81.93837733529023,81.6749109975211,81.54447642959907,0.6266600047038137,0.3031029798326315,0.14291924974188477,A,40
updated_20260615_home__20260615_171343,81.71226322414161,81.35010061711199,81.22018477031386,0.757433258701336,0.31085922847911435,0.150663111684462,A,30
updated_20260615_home__20260615_173454,84.27594934476728,84.05574019212997,83.82076242124282,0.5926866804575927,0.32984264882534237,0.04937063435978676,A,80
updated_20260615_home__20260615_175827,83.2336521428225,83.04276360160617,82.82221767866011,0.5736569031518179,0.34300069431344704,0.07650860349776595,A,70
updated_20260615_home__20260615_181821,82.09629686222804,81.93524230329751,81.77907118318227,0.43773357992627987,0.24069722749684905,0.049635340974284715,A,60
updated_20260615_home__20260615_184806,42.522819771980245,42.25599844051476,42.18851574807731,1.000723898151476,0.36696659386187513,0.2066808737866963,A,20
updated_20260615_home__20260615_191512,82.3437468398332,82.18467857478447,82.0051722222593,0.518986945374071,0.32480849866144285,0.1056807883182896,A,50
updated_20260615_home__20260615_194133,82.89675220764983,82.6302042916747,82.49824412346075,0.6043197323866747,0.2808345408849486,0.12068637341897744,A,40
updated_20260615_home__20260615_200106,82.65126284649443,82.28493843390697,82.15352965414787,0.7221206849419148,0.2757031660347668,0.11556319335777022,A,30
